problem,method,iterations,converged,f_final,grad_norm,func_evals,time,linesearch,timeout
P1_quad_10_10,Newton_CG_wolfe,4,True,-47.65679872786538,1.5477528051428495e-09,4,0.021586179733276367,Wolfe,False
P2_quad_10_1000,Newton_CG_wolfe,1,True,-4214.800960750799,4.801217363957541e-13,1,0.00807809829711914,Wolfe,False
P5_quartic_1,Newton_CG_wolfe,2,True,7.158177401147292e-18,3.783695918317774e-09,2,0.00026702880859375,Wolfe,False
P6_quartic_2,Newton_CG_wolfe,20,True,6.280457391881986e-26,3.5441380875699483e-13,20,0.002783060073852539,Wolfe,False
P7_Extended_Rosenbrock_n2,Newton_CG_wolfe,22,True,2.1994622493950763e-22,6.590421628700633e-10,29,0.0011050701141357422,Wolfe,False
P8_Extended_Rosenbrock_n100,Newton_CG_wolfe,6,True,3.986623854300934,6.525295707137557e-09,6,0.03486514091491699,Wolfe,False
P9_Beale,Newton_CG_wolfe,8,True,4.257728829441063e-23,3.926760523100281e-11,10,0.0007989406585693359,Wolfe,False
P10_exponential_10,Newton_CG_wolfe,17,True,-0.20557280899465527,8.21358719763671e-09,17,0.0012710094451904297,Wolfe,False
P11_exponential_1000,Newton_CG_wolfe,19,True,-0.2055728089738286,8.252433296527485e-09,19,0.06275296211242676,Wolfe,False
P12_genhumps_5,Newton_CG_wolfe,56,True,4.2066504308358036e-22,1.2944916261832573e-11,88,0.007105112075805664,Wolfe,False
